No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime
21,2013,3,1,20,8.0,21.0,9.0,14.0,300.0,80.0,1.1,1025.9,-18.3,0.0,NE,1.7,Changping,2013-03-01 20:00:00
22,2013,3,1,21,7.0,16.0,9.0,19.0,300.0,74.0,1.6,1026.7,-17.4,0.0,E,2.3,Changping,2013-03-01 21:00:00
23,2013,3,1,22,5.0,13.0,9.0,16.0,300.0,76.0,0.4,1027.2,-17.4,0.0,E,1.5,Changping,2013-03-01 22:00:00
24,2013,3,1,23,7.0,12.0,9.0,25.0,500.0,65.0,0.3,1027.0,-16.6,0.0,NE,1.5,Changping,2013-03-01 23:00:00
25,2013,3,2,0,11.0,13.0,9.0,16.0,400.0,69.0,-0.5,1027.4,-16.4,0.0,SW,1.5,Changping,2013-03-02 00:00:00
26,2013,3,2,1,12.0,10.0,9.0,18.0,400.0,67.0,-1.8,1027.9,-16.7,0.0,SSW,0.9,Changping,2013-03-02 01:00:00
27,2013,3,2,2,13.0,9.0,9.0,56.0,800.0,33.0,-1.7,1027.7,-17.4,0.0,SSW,1.5,Changping,2013-03-02 02:00:00
28,2013,3,2,3,14.0,24.0,9.0,42.0,600.0,39.0,-2.5,1027.7,-17.4,0.0,SW,1.7,Changping,2013-03-02 03:00:00
29,2013,3,2,4,14.0,18.0,9.0,49.5,400.0,45.0,-3.4,1027.5,-17.0,0.0,NW,0.8,Changping,2013-03-02 04:00:00
30,2013,3,2,5,13.0,13.0,9.0,57.0,600.0,28.0,-3.5,1026.9,-16.8,0.0,N,0.5,Changping,2013-03-02 05:00:00
31,2013,3,2,6,16.0,15.0,9.0,66.0,900.0,16.0,-3.5,1026.1,-15.8,0.0,NNE,0.9,Changping,2013-03-02 06:00:00
32,2013,3,2,7,19.0,25.0,9.0,63.0,900.0,18.0,-3.3,1026.7,-14.4,0.0,NNW,0.9,Changping,2013-03-02 07:00:00
33,2013,3,2,8,22.0,26.0,9.0,66.0,1100.0,14.0,-2.0,1026.4,-15.1,0.0,NNE,1.0,Changping,2013-03-02 08:00:00
34,2013,3,2,9,29.0,43.0,9.0,69.0,800.0,13.0,-0.2,1026.3,-16.6,0.0,WSW,0.5,Changping,2013-03-02 09:00:00
35,2013,3,2,10,46.0,70.0,9.0,54.0,900.0,29.0,0.6,1025.8,-17.2,0.0,SW,1.3,Changping,2013-03-02 10:00:00
36,2013,3,2,11,30.0,33.0,9.0,61.0,800.0,28.0,1.3,1025.4,-17.1,0.0,ESE,1.1,Changping,2013-03-02 11:00:00
37,2013,3,2,12,31.0,41.0,9.0,51.0,700.0,38.0,1.9,1024.2,-17.1,0.0,WSW,1.6,Changping,2013-03-02 12:00:00
38,2013,3,2,13,30.0,34.0,9.0,50.0,700.0,42.0,2.3,1022.6,-17.3,0.0,SE,0.2,Changping,2013-03-02 13:00:00
39,2013,3,2,14,30.0,32.0,9.0,59.0,900.0,36.0,3.0,1021.9,-17.3,0.0,S,1.5,Changping,2013-03-02 14:00:00
40,2013,3,2,15,38.0,41.0,9.0,58.0,900.0,38.0,2.9,1020.9,-16.8,0.0,WSW,1.2,Changping,2013-03-02 15:00:00
41,2013,3,2,16,42.0,49.0,9.0,62.0,900.0,35.0,2.5,1020.6,-17.1,0.0,WNW,0.5,Changping,2013-03-02 16:00:00
42,2013,3,2,17,44.0,50.0,9.0,66.0,900.0,31.0,2.1,1020.2,-16.4,0.0,E,0.7,Changping,2013-03-02 17:00:00
43,2013,3,2,18,44.0,55.0,9.0,73.0,900.0,23.0,1.5,1020.4,-16.0,0.0,NE,0.7,Changping,2013-03-02 18:00:00
44,2013,3,2,19,47.0,60.0,9.0,76.0,1000.0,18.0,0.3,1020.0,-15.3,0.0,NE,0.6,Changping,2013-03-02 19:00:00
45,2013,3,2,20,52.0,65.0,9.0,84.0,800.0,12.0,0.0,1019.9,-15.2,0.0,NE,0.2,Changping,2013-03-02 20:00:00
46,2013,3,2,21,69.0,76.0,9.0,82.0,800.0,9.0,-1.2,1019.7,-13.7,0.0,N,1.0,Changping,2013-03-02 21:00:00
47,2013,3,2,22,72.0,83.0,9.0,82.0,800.0,8.0,-2.1,1019.1,-13.3,0.0,NNE,0.4,Changping,2013-03-02 22:00:00
48,2013,3,2,23,62.0,71.0,9.0,87.0,800.0,9.0,-2.2,1018.2,-13.4,0.0,NNE,1.1,Changping,2013-03-02 23:00:00
49,2013,3,3,0,73.0,87.0,9.0,76.0,800.0,7.0,-2.4,1017.4,-13.0,0.0,N,1.0,Changping,2013-03-03 00:00:00
50,2013,3,3,1,50.0,60.0,9.0,73.0,800.0,7.0,-3.8,1016.5,-12.2,0.0,NNW,1.4,Changping,2013-03-03 01:00:00
51,2013,3,3,2,60.0,62.0,9.0,75.0,800.0,7.0,-3.8,1015.1,-12.7,0.0,NNE,0.8,Changping,2013-03-03 02:00:00
52,2013,3,3,3,60.0,63.0,9.0,74.0,800.0,7.0,-4.0,1014.1,-13.4,0.0,NE,0.7,Changping,2013-03-03 03:00:00
53,2013,3,3,4,64.0,66.0,9.0,69.0,1200.0,6.0,-4.8,1013.6,-13.2,0.0,NNE,0.2,Changping,2013-03-03 04:00:00
54,2013,3,3,5,56.0,58.0,9.0,71.0,800.0,6.0,-5.6,1013.2,-13.0,0.0,ENE,0.5,Changping,2013-03-03 05:00:00
55,2013,3,3,6,53.0,59.0,9.0,68.0,800.0,6.0,-5.7,1013.2,-13.1,0.0,NE,1.5,Changping,2013-03-03 06:00:00
56,2013,3,3,7,52.0,62.0,9.0,68.0,800.0,6.0,-3.3,1013.5,-12.8,0.0,NE,0.8,Changping,2013-03-03 07:00:00
57,2013,3,3,8,58.0,75.0,9.0,71.0,800.0,12.0,-0.3,1012.8,-11.4,0.0,NNW,0.5,Changping,2013-03-03 08:00:00
58,2013,3,3,9,81.0,106.0,9.0,72.0,800.0,15.0,3.4,1012.5,-12.6,0.0,SSE,0.8,Changping,2013-03-03 09:00:00
59,2013,3,3,10,84.0,101.0,9.0,84.0,800.0,17.0,6.5,1011.4,-12.2,0.0,SE,2.1,Changping,2013-03-03 10:00:00
60,2013,3,3,11,106.0,148.0,9.0,93.0,800.0,20.0,9.0,1010.4,-11.6,0.0,ESE,1.4,Changping,2013-03-03 11:00:00
61,2013,3,3,12,110.0,135.0,9.0,89.0,800.0,24.0,12.2,1009.1,-13.7,0.0,SE,1.8,Changping,2013-03-03 12:00:00
62,2013,3,3,13,113.0,151.0,9.0,80.0,800.0,30.0,15.6,1007.5,-13.8,0.0,NW,1.5,Changping,2013-03-03 13:00:00
63,2013,3,3,14,100.0,151.0,9.0,53.0,1000.0,52.0,16.6,1006.9,-14.1,0.0,NW,1.5,Changping,2013-03-03 14:00:00
64,2013,3,3,15,68.0,128.0,14.0,20.0,400.0,78.0,17.0,1006.8,-14.9,0.0,NW,2.3,Changping,2013-03-03 15:00:00
65,2013,3,3,16,32.0,90.0,10.0,16.0,400.0,82.0,16.1,1006.9,-14.4,0.0,ENE,0.7,Changping,2013-03-03 16:00:00
66,2013,3,3,17,21.0,71.0,9.0,21.0,400.0,76.0,13.9,1007.6,-14.1,0.0,SSE,0.6,Changping,2013-03-03 17:00:00
67,2013,3,3,18,16.0,33.0,17.0,22.0,400.0,72.0,12.4,1009.0,-14.4,0.0,E,0.8,Changping,2013-03-03 18:00:00
68,2013,3,3,19,18.0,43.0,12.0,35.0,600.0,59.0,8.9,1010.0,-13.5,0.0,NW,0.9,Changping,2013-03-03 19:00:00
69,2013,3,3,20,24.0,56.0,9.0,46.0,800.0,45.0,7.7,1010.1,-12.2,0.0,ENE,0.5,Changping,2013-03-03 20:00:00
70,2013,3,3,21,29.0,55.0,9.0,42.0,700.0,47.0,6.9,1010.6,-12.3,0.0,N,0.7,Changping,2013-03-03 21:00:00
71,2013,3,3,22,23.0,46.0,9.0,69.0,800.0,19.0,6.8,1011.2,-11.9,0.0,NE,1.5,Changping,2013-03-03 22:00:00
72,2013,3,3,23,30.0,78.0,14.0,24.0,700.0,52.0,8.6,1012.1,-11.4,0.0,NE,2.0,Changping,2013-03-03 23:00:00
73,2013,3,4,0,25.0,42.0,9.0,22.0,400.0,57.0,9.2,1013.2,-12.6,0.0,ENE,2.4,Changping,2013-03-04 00:00:00
74,2013,3,4,1,16.0,38.0,9.0,13.0,300.0,72.0,7.3,1014.2,-12.5,0.0,NE,2.1,Changping,2013-03-04 01:00:00
75,2013,3,4,2,8.0,31.0,9.0,14.0,300.0,74.0,6.1,1014.4,-13.5,0.0,NW,1.4,Changping,2013-03-04 02:00:00
76,2013,3,4,3,6.0,20.0,4.0,10.0,400.0,76.0,6.6,1014.2,-14.8,0.0,N,1.5,Changping,2013-03-04 03:00:00
77,2013,3,4,4,7.0,13.0,3.0,10.0,300.0,80.0,4.8,1014.6,-12.2,0.0,NW,1.5,Changping,2013-03-04 04:00:00
78,2013,3,4,5,3.0,14.0,9.0,46.0,600.0,38.0,5.4,1015.4,-12.1,0.0,NW,1.5,Changping,2013-03-04 05:00:00
79,2013,3,4,6,10.0,24.0,9.0,43.0,500.0,39.0,4.2,1016.1,-12.3,0.0,N,1.5,Changping,2013-03-04 06:00:00
80,2013,3,4,7,12.0,28.0,9.0,38.0,700.0,42.0,6.3,1016.8,-12.3,0.0,N,0.8,Changping,2013-03-04 07:00:00
81,2013,3,4,8,12.0,32.0,9.0,34.0,700.0,48.0,8.9,1017.4,-12.9,0.0,ENE,1.6,Changping,2013-03-04 08:00:00
82,2013,3,4,9,16.0,29.0,9.0,19.0,500.0,65.0,10.2,1017.6,-13.8,0.0,NW,1.5,Changping,2013-03-04 09:00:00
83,2013,3,4,10,14.0,23.0,16.0,12.0,400.0,76.0,11.4,1017.1,-14.4,0.0,NNW,1.5,Changping,2013-03-04 10:00:00
84,2013,3,4,11,7.0,16.0,7.0,11.0,400.0,80.0,12.7,1016.6,-15.1,0.0,NNW,1.5,Changping,2013-03-04 11:00:00
85,2013,3,4,12,8.0,22.0,6.0,9.0,400.0,85.0,14.6,1015.4,-14.6,0.0,NNW,1.5,Changping,2013-03-04 12:00:00
86,2013,3,4,13,14.0,16.0,7.0,9.0,400.0,89.0,15.1,1014.2,-15.2,0.0,NNW,1.5,Changping,2013-03-04 13:00:00
87,2013,3,4,14,11.0,13.0,14.0,11.0,400.0,91.0,16.1,1013.1,-16.9,0.0,NW,1.5,Changping,2013-03-04 14:00:00
88,2013,3,4,15,21.0,24.0,11.0,10.0,400.0,95.0,16.1,1012.5,-16.9,0.0,NW,2.3,Changping,2013-03-04 15:00:00
89,2013,3,4,16,10.0,17.0,10.0,12.0,400.0,92.0,14.8,1012.0,-14.4,0.0,SSW,1.5,Changping,2013-03-04 16:00:00
90,2013,3,4,17,13.0,15.0,8.0,21.0,400.0,86.0,12.9,1012.4,-14.0,0.0,SSW,1.5,Changping,2013-03-04 17:00:00
91,2013,3,4,18,17.0,29.0,14.0,40.0,500.0,81.0,11.3,1012.7,-13.7,0.0,SSW,1.2,Changping,2013-03-04 18:00:00
92,2013,3,4,19,32.0,54.0,9.0,63.0,700.0,57.0,8.7,1013.2,-12.5,0.0,ENE,0.5,Changping,2013-03-04 19:00:00
93,2013,3,4,20,43.0,71.0,9.0,91.0,1100.0,25.0,5.9,1013.4,-11.7,0.0,ENE,0.2,Changping,2013-03-04 20:00:00
94,2013,3,4,21,64.0,99.0,9.0,88.0,800.0,18.0,4.9,1013.4,-11.7,0.0,ESE,0.8,Changping,2013-03-04 21:00:00
95,2013,3,4,22,76.0,123.0,9.0,57.0,1100.0,34.0,4.0,1013.2,-11.6,0.0,E,0.6,Changping,2013-03-04 22:00:00
96,2013,3,4,23,54.0,75.0,9.0,43.0,1200.0,95.0,4.2,1012.6,-11.5,0.0,ESE,0.8,Changping,2013-03-04 23:00:00
97,2013,3,5,0,57.0,69.0,9.0,37.0,900.0,95.0,2.8,1012.1,-11.2,0.0,ENE,0.4,Changping,2013-03-05 00:00:00
98,2013,3,5,1,48.0,57.0,9.0,66.0,800.0,95.0,1.8,1011.7,-11.0,0.0,NNE,0.6,Changping,2013-03-05 01:00:00
99,2013,3,5,2,65.0,99.0,9.0,54.0,800.0,95.0,0.8,1011.4,-10.7,0.0,N,0.6,Changping,2013-03-05 02:00:00
100,2013,3,5,3,60.0,75.0,9.0,36.0,1100.0,95.0,0.2,1011.0,-10.4,0.0,N,0.2,Changping,2013-03-05 03:00:00
101,2013,3,5,4,46.0,54.0,9.0,75.0,800.0,95.0,-0.1,1010.7,-10.1,0.0,N,0.8,Changping,2013-03-05 04:00:00
102,2013,3,5,5,72.0,113.0,9.0,61.0,800.0,95.0,-0.4,1010.9,-9.6,0.0,NNE,1.5,Changping,2013-03-05 05:00:00
103,2013,3,5,6,56.0,78.0,9.0,53.0,1100.0,95.0,-1.0,1010.6,-9.4,0.0,NE,0.8,Changping,2013-03-05 06:00:00
104,2013,3,5,7,51.0,66.0,9.0,69.0,800.0,95.0,1.2,1010.4,-9.4,0.0,NE,1.5,Changping,2013-03-05 07:00:00
105,2013,3,5,8,68.0,105.0,9.0,66.0,800.0,95.0,6.0,1010.1,-10.7,0.0,SW,0.8,Changping,2013-03-05 08:00:00
106,2013,3,5,9,68.0,92.0,9.0,75.0,800.0,95.0,7.8,1009.5,-10.6,0.0,SW,1.0,Changping,2013-03-05 09:00:00
107,2013,3,5,10,87.0,117.0,9.0,92.0,800.0,95.0,9.3,1008.7,-9.3,0.0,ESE,1.4,Changping,2013-03-05 10:00:00
108,2013,3,5,11,107.0,160.0,9.0,80.0,800.0,95.0,11.0,1007.8,-9.4,0.0,SW,1.9,Changping,2013-03-05 11:00:00
109,2013,3,5,12,109.0,139.0,9.0,65.0,800.0,55.0,12.1,1006.5,-9.0,0.0,ENE,0.4,Changping,2013-03-05 12:00:00
110,2013,3,5,13,118.0,133.0,9.0,55.0,800.0,95.0,13.2,1005.1,-8.1,0.0,SSW,0.9,Changping,2013-03-05 13:00:00
111,2013,3,5,14,126.0,127.0,9.0,60.0,800.0,95.0,14.1,1004.3,-8.6,0.0,SE,1.7,Changping,2013-03-05 14:00:00
112,2013,3,5,15,124.0,129.0,9.0,76.0,800.0,92.0,13.5,1004.1,-8.4,0.0,SE,0.8,Changping,2013-03-05 15:00:00
113,2013,3,5,16,149.0,153.0,9.0,81.0,800.0,86.0,13.3,1003.9,-8.0,0.0,ESE,1.1,Changping,2013-03-05 16:00:00
114,2013,3,5,17,151.0,158.0,9.0,104.0,800.0,81.0,12.4,1004.5,-8.2,0.0,ESE,1.0,Changping,2013-03-05 17:00:00
115,2013,3,5,18,158.0,168.0,9.0,106.0,800.0,81.0,8.9,1005.0,-7.8,0.0,NE,0.8,Changping,2013-03-05 18:00:00
116,2013,3,5,19,161.0,172.0,9.0,35.0,800.0,81.0,7.7,1005.4,-7.6,0.0,NNE,0.2,Changping,2013-03-05 19:00:00
117,2013,3,5,20,173.0,187.0,9.0,35.0,800.0,81.0,6.3,1005.9,-7.3,0.0,NNE,0.7,Changping,2013-03-05 20:00:00
118,2013,3,5,21,51.0,210.0,9.0,94.0,800.0,81.0,5.6,1006.0,-7.3,0.0,NNE,0.2,Changping,2013-03-05 21:00:00
119,2013,3,5,22,51.0,183.0,9.0,78.0,800.0,81.0,4.9,1005.8,-7.0,0.0,N,1.7,Changping,2013-03-05 22:00:00
120,2013,3,5,23,141.0,160.0,9.0,74.0,800.0,81.0,3.7,1005.7,-6.9,0.0,NE,0.4,Changping,2013-03-05 23:00:00
121,2013,3,6,0,152.0,154.0,9.0,35.0,800.0,81.0,3.9,1005.4,-6.7,0.0,N,2.0,Changping,2013-03-06 00:00:00
122,2013,3,6,1,51.0,195.0,9.0,72.0,800.0,81.0,3.9,1005.3,-6.4,0.0,NE,0.8,Changping,2013-03-06 01:00:00
123,2013,3,6,2,146.0,153.0,9.0,100.0,800.0,81.0,3.5,1004.8,-6.5,0.0,N,0.7,Changping,2013-03-06 02:00:00
124,2013,3,6,3,170.0,179.0,9.0,74.0,800.0,81.0,3.7,1004.7,-6.3,0.0,N,1.3,Changping,2013-03-06 03:00:00
125,2013,3,6,4,149.0,155.0,9.0,87.5,800.0,81.0,2.4,1004.7,-6.2,0.0,N,1.0,Changping,2013-03-06 04:00:00
126,2013,3,6,5,51.0,202.0,9.0,101.0,800.0,81.0,2.1,1004.9,-5.8,0.0,N,0.9,Changping,2013-03-06 05:00:00
127,2013,3,6,6,51.0,187.0,9.0,94.0,800.0,81.0,3.1,1005.1,-5.6,0.0,N,0.2,Changping,2013-03-06 06:00:00
128,2013,3,6,7,51.0,190.0,9.0,93.0,800.0,81.0,4.7,1006.2,-4.9,0.0,ESE,0.6,Changping,2013-03-06 07:00:00
129,2013,3,6,8,51.0,200.0,9.0,85.0,800.0,81.0,5.5,1006.2,-4.1,0.0,SW,0.5,Changping,2013-03-06 08:00:00
130,2013,3,6,9,51.0,200.0,9.0,86.0,800.0,81.0,7.2,1006.1,-5.5,0.0,W,0.5,Changping,2013-03-06 09:00:00
131,2013,3,6,10,51.0,219.0,9.0,35.0,800.0,81.0,8.8,1005.8,-5.5,0.0,NNW,0.7,Changping,2013-03-06 10:00:00
132,2013,3,6,11,51.0,80.0,9.0,35.0,800.0,81.0,10.6,1004.6,-5.0,0.0,N,0.9,Changping,2013-03-06 11:00:00
133,2013,3,6,12,51.0,80.0,9.0,35.0,800.0,81.0,12.4,1003.4,-4.7,0.0,NW,0.8,Changping,2013-03-06 12:00:00
134,2013,3,6,13,51.0,80.0,9.0,35.0,800.0,81.0,13.4,1002.5,-4.3,0.0,SE,1.2,Changping,2013-03-06 13:00:00
135,2013,3,6,14,51.0,80.0,9.0,35.0,800.0,81.0,13.6,1001.8,-4.1,0.0,S,2.3,Changping,2013-03-06 14:00:00
136,2013,3,6,15,51.0,80.0,9.0,35.0,800.0,81.0,13.6,1001.9,-3.7,0.0,ESE,2.2,Changping,2013-03-06 15:00:00
137,2013,3,6,16,51.0,80.0,9.0,35.0,800.0,66.0,13.3,1002.2,-3.9,0.0,ESE,1.6,Changping,2013-03-06 16:00:00
138,2013,3,6,17,51.0,80.0,9.0,35.0,800.0,60.0,12.0,1002.7,-3.8,0.0,SE,1.3,Changping,2013-03-06 17:00:00
139,2013,3,6,18,51.0,80.0,9.0,35.0,800.0,39.0,10.6,1003.7,-3.9,0.0,SSW,1.2,Changping,2013-03-06 18:00:00
140,2013,3,6,19,51.0,80.0,9.0,35.0,800.0,37.0,7.1,1004.5,-3.5,0.0,NNW,1.4,Changping,2013-03-06 19:00:00
141,2013,3,6,20,51.0,80.0,9.0,35.0,800.0,37.0,6.2,1004.9,-3.5,0.0,SE,0.7,Changping,2013-03-06 20:00:00
142,2013,3,6,21,51.0,80.0,9.0,35.0,800.0,37.0,5.5,1004.5,-3.6,0.0,ENE,0.6,Changping,2013-03-06 21:00:00
143,2013,3,6,22,51.0,80.0,9.0,35.0,800.0,35.0,4.7,1004.3,-3.6,0.0,E,0.7,Changping,2013-03-06 22:00:00
144,2013,3,6,23,51.0,80.0,9.0,35.0,800.0,30.0,4.5,1004.1,-3.3,0.0,S,0.9,Changping,2013-03-06 23:00:00
145,2013,3,7,0,51.0,80.0,9.0,35.0,800.0,30.0,5.3,1004.2,-3.3,0.0,ENE,0.7,Changping,2013-03-07 00:00:00
146,2013,3,7,1,51.0,249.0,9.0,35.0,800.0,22.0,6.2,1004.2,-3.2,0.0,E,1.4,Changping,2013-03-07 01:00:00
147,2013,3,7,2,51.0,228.0,9.0,35.0,800.0,22.0,3.0,1003.8,-3.8,0.0,SW,0.5,Changping,2013-03-07 02:00:00
148,2013,3,7,3,51.0,211.0,9.0,105.0,800.0,22.0,1.4,1003.6,-4.3,0.0,SW,1.0,Changping,2013-03-07 03:00:00
149,2013,3,7,4,51.0,200.0,9.0,35.0,800.0,22.0,1.3,1003.5,-5.0,0.0,WNW,1.8,Changping,2013-03-07 04:00:00
150,2013,3,7,5,51.0,215.0,9.0,35.0,800.0,22.0,1.0,1003.7,-5.3,0.0,NNE,1.5,Changping,2013-03-07 05:00:00
151,2013,3,7,6,51.0,234.0,9.0,102.0,800.0,22.0,0.2,1003.6,-5.4,0.0,NNE,1.0,Changping,2013-03-07 06:00:00
152,2013,3,7,7,175.0,206.0,9.0,95.0,800.0,22.0,4.9,1003.6,-4.4,0.0,N,0.1,Changping,2013-03-07 07:00:00
153,2013,3,7,8,143.0,180.0,9.0,96.0,800.0,22.0,7.0,1003.4,-3.6,0.0,SSW,1.4,Changping,2013-03-07 08:00:00
154,2013,3,7,9,140.0,200.0,9.0,35.0,800.0,22.0,8.9,1003.2,-3.7,0.0,SSE,1.0,Changping,2013-03-07 09:00:00
155,2013,3,7,10,169.0,240.0,9.0,35.0,800.0,22.0,12.5,1002.1,-5.5,0.0,SE,1.1,Changping,2013-03-07 10:00:00
156,2013,3,7,11,51.0,80.0,9.0,35.0,800.0,22.0,15.0,1000.3,-4.9,0.0,SE,0.8,Changping,2013-03-07 11:00:00
157,2013,3,7,12,174.0,183.0,9.0,62.0,800.0,41.0,16.3,998.4,-4.3,0.0,ESE,1.5,Changping,2013-03-07 12:00:00
158,2013,3,7,13,71.0,82.0,9.0,53.0,1100.0,65.0,17.3,996.7,-4.1,0.0,SSW,1.4,Changping,2013-03-07 13:00:00
159,2013,3,7,14,83.0,88.0,9.0,98.0,800.0,65.0,16.6,995.5,-3.5,0.0,ESE,1.2,Changping,2013-03-07 14:00:00
160,2013,3,7,15,137.0,133.0,9.0,35.0,800.0,65.0,16.8,994.7,-3.4,0.0,ENE,1.0,Changping,2013-03-07 15:00:00
161,2013,3,7,16,51.0,230.0,9.0,35.0,800.0,65.0,16.6,994.1,-3.5,0.0,ENE,0.8,Changping,2013-03-07 16:00:00
162,2013,3,7,17,51.0,80.0,9.0,35.0,800.0,65.0,14.5,993.9,-3.3,0.0,NE,0.7,Changping,2013-03-07 17:00:00
163,2013,3,7,18,51.0,80.0,9.0,35.0,800.0,65.0,12.5,994.5,-3.4,0.0,N,0.5,Changping,2013-03-07 18:00:00
164,2013,3,7,19,51.0,247.0,9.0,35.0,800.0,21.0,11.8,994.7,-3.2,0.0,ENE,0.8,Changping,2013-03-07 19:00:00
165,2013,3,7,20,51.0,80.0,9.0,35.0,800.0,65.0,9.8,994.6,-2.8,0.0,NNW,0.6,Changping,2013-03-07 20:00:00
166,2013,3,7,21,51.0,80.0,9.0,35.0,800.0,65.0,7.9,995.1,-3.0,0.0,NNE,1.2,Changping,2013-03-07 21:00:00
167,2013,3,7,22,51.0,241.0,9.0,35.0,800.0,65.0,8.1,995.1,-3.4,0.0,ENE,0.9,Changping,2013-03-07 22:00:00
168,2013,3,7,23,51.0,80.0,9.0,35.0,800.0,65.0,6.8,995.0,-3.2,0.0,NE,1.3,Changping,2013-03-07 23:00:00
169,2013,3,8,0,51.0,238.0,9.0,35.0,800.0,65.0,5.9,995.3,-3.0,0.0,NE,1.5,Changping,2013-03-08 00:00:00
170,2013,3,8,1,51.0,227.0,9.0,35.0,800.0,65.0,4.4,995.6,-3.2,0.0,E,0.8,Changping,2013-03-08 01:00:00
171,2013,3,8,2,51.0,80.0,9.0,35.0,800.0,65.0,4.0,995.2,-3.5,0.0,ENE,0.6,Changping,2013-03-08 02:00:00
172,2013,3,8,3,51.0,80.0,9.0,35.0,800.0,65.0,4.5,994.7,-3.1,0.0,SE,1.4,Changping,2013-03-08 03:00:00
173,2013,3,8,4,51.0,80.0,9.0,35.0,800.0,65.0,16.7,994.9,-5.8,0.0,NW,1.5,Changping,2013-03-08 04:00:00
174,2013,3,8,5,51.0,235.0,9.0,105.0,800.0,65.0,15.4,995.6,-6.2,0.0,SE,0.7,Changping,2013-03-08 05:00:00
175,2013,3,8,6,51.0,211.0,9.0,36.0,700.0,65.0,12.7,996.2,-5.4,0.0,ESE,1.7,Changping,2013-03-08 06:00:00
176,2013,3,8,7,72.0,135.0,9.0,85.0,800.0,65.0,14.9,996.7,-5.5,0.0,NE,1.3,Changping,2013-03-08 07:00:00
177,2013,3,8,8,79.0,159.0,9.0,84.0,800.0,65.0,11.2,997.8,-4.1,0.0,ESE,1.7,Changping,2013-03-08 08:00:00
178,2013,3,8,9,85.0,182.0,9.0,87.0,800.0,65.0,14.5,997.9,-2.9,0.0,SSW,1.7,Changping,2013-03-08 09:00:00
179,2013,3,8,10,51.0,80.0,9.0,94.0274,800.0,65.0,17.3,997.3,-3.5,0.0,SE,1.4,Changping,2013-03-08 10:00:00
